"question","answer","reference"
"What is the capital city of Australia?","Canberra","Australian geography"
"How many days are in a leap year?","366","Calendar"
"Which planet is known as the Red Planet?","Mars","Solar System"
"What is the largest ocean on Earth?","Pacific Ocean","World geography"
"How many sides does a hexagon have?","6","Geometry"
"Which animal is the fastest on land?","Cheetah","Animal facts"
"What gas do humans need to breathe to survive?","Oxygen","Human biology"
"What is frozen water called?","Ice","States of matter"
"Which country is shaped like a boot?","Italy","European geography"
"How many colours are traditionally named in a rainbow?","7","Visible spectrum convention"
"What do bees collect from flowers to make honey?","Nectar","Bee biology"
"Which musical instrument has black and white keys?","Piano; keyboard is also accepted","Musical instruments"
"What is the opposite of north?","South","Compass directions"
"How many hours are in one day?","24","Time"
"Which bird is commonly used as a symbol of peace?","Dove","Common symbolism"
"What is the largest living animal?","Blue whale","Animal facts"
"What is H2O commonly called?","Water","Chemistry"
"Which sport uses a bat, wickets and a ball?","Cricket","Sport"
"How many players are on the field for one soccer team at the start of a match?","11","Association football"
"What is the first month of the year?","January","Calendar"
"Which continent contains Egypt?","Africa","World geography"
"What is the name of Earth's natural satellite?","The Moon","Astronomy"
"What colour do blue and yellow make when mixed as paint?","Green","Subtractive colour mixing"
"Which organ pumps blood around the human body?","Heart","Human biology"
"How many minutes are in one hour?","60","Time"
"What is a baby frog called?","Tadpole","Animal life cycles"
"Which metal is liquid at ordinary room temperature?","Mercury","Chemistry"
"What is the tallest type of animal?","Giraffe","Animal facts"
"Which language is primarily spoken in Brazil?","Portuguese","Languages"
"What is 9 multiplied by 7?","63","Arithmetic"
"How many continents are commonly recognised?","7","Geography convention"
"Which planet is closest to the Sun?","Mercury","Solar System"
"What do you call a shape with three sides?","Triangle","Geometry"
"Which sea creature has eight arms?","Octopus","Marine biology"
"What is the boiling point of water at sea level in degrees Celsius?","100°C; 100 degrees Celsius","Physics"
"Which famous ship struck an iceberg in 1912?","Titanic; RMS Titanic","History"
"What is the main language spoken in Japan?","Japanese","Languages"
"Which vitamin is commonly produced in skin exposed to sunlight?","Vitamin D","Human biology"
"What is the square root of 81?","9","Arithmetic"
"Which Australian animal is known for carrying its young in a pouch and hopping?","Kangaroo; wallaby is also accepted","Australian animals"
"What is the hardest natural substance?","Diamond","Materials science"
"How many letters are in the English alphabet?","26","English language"
"Which planet is famous for its prominent rings?","Saturn","Solar System"
"What is the currency of Japan?","Yen; Japanese yen","World currencies"
"Which part of a plant usually absorbs water from the soil?","Roots","Plant biology"
"What do you call an animal that eats only plants?","Herbivore","Biology"
"Who painted the Mona Lisa?","Leonardo da Vinci","Art history"
"Which is larger, a kilometre or a metre?","A kilometre","Metric measurement"
"How many zeros are in one million?","6","Place value"
"What is the name of the line around the middle of Earth?","The Equator","Geography"
"Which chess piece moves in an L-shape?","Knight","Chess"
"What is the smallest prime number?","2","Mathematics"
"Which blood cells help fight infection?","White blood cells; leukocytes","Human biology"
"What is the capital of New Zealand?","Wellington","New Zealand geography"
"Which planet is the largest in our Solar System?","Jupiter","Solar System"
"What is the process by which plants use light to make food?","Photosynthesis","Plant biology"
"Which instrument is used to measure temperature?","Thermometer","Measurement"
"In computing, what does CPU stand for?","Central Processing Unit","Computing"
"Which punctuation marks are used to surround a direct quotation?","Quotation marks; inverted commas; speech marks","English punctuation"
"What word describes animals that are active at night?","Nocturnal","Biology"
